name_supermarkt,address,lat,long,key_words,codes,postal_code,url2,urls,place,popularity_percent_normal
Maxim Spermarket GmbH,"Winterthurerstrasse 520, Zrich",47.4037702,8.5721625,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJO1wFeIqgmkcRQkYlgiYM0kA,8051,,https://maps.google.com/?cid=4670809123068397122,_cid=4670809123068397122,49.05555555555556
Denner Discount,"Winterthurerstrasse 524, Zrich",47.4039316,8.5726414,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJzQIrcrehmkcRgXRMKjmOSsA,8051,https://www.denner.ch/,https://maps.google.com/?cid=13856043579732685953,,
Indian Shop - Epicerie,"Dbendorfstrasse 335, Zrich",47.3987536,8.5911026,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJb_NbFPmgmkcRH03vpG8Jy70,8051,,https://maps.google.com/?cid=13676035068553809183,_cid=13676035068553809183,57.09411764705882
Coop Supermarkt Zrich Hirzenbachstrasse,"Hirzenbachstrasse 40, Zrich",47.4034853,8.5893299,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJFZ5x7FegmkcRGLDfm8BTZlw,8051,https://www.coop.ch/de/standorte/coop-supermarkt-zuerich-hirzenbachstrasse/4592_POS,https://maps.google.com/?cid=6658101185827811352,_cid=6658101185827811352,48.92105263157895
Denner Discount,"Dbendorfstrasse 271, Zrich",47.4000868,8.5878648,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJmyluu8KhmkcRVDaQt0P7Dg8,8051,https://www.denner.ch/,https://maps.google.com/?cid=1085080828503930452,_cid=1085080828503930452,54.68055555555556
Migros Supermarkt,"Neugutstrasse 83, Dbendorf",47.4014347,8.6034625,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJH_llnQChmkcRwKoBGOEzcek,8600,https://filialen.migros.ch/de/migros-supermarkt-duebendorf-hochbord-nord,https://maps.google.com/?cid=16821283125068933824,_cid=16821283125068933824,41.03125
Branchengruppe Lebensmittel,"Auenstrasse, Dbendorf",47.39524919999999,8.598258399999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJS8YqEwKhmkcR9crMiO1WdiQ,8600,http://branchengruppe.ch/branchengruppe/veledes-bildung.html,https://maps.google.com/?cid=2627383010819623669,,
migrolino Dbendorf (Bhlwiesen),"Ringstrasse 17, Dbendorf",47.39840040000001,8.605350699999999,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJJW4VzgahmkcRInTtfQdzztc,8600,http://www.migrolino.ch/,https://maps.google.com/?cid=15550493039371580450,_cid=15550493039371580450,48.24590163934426
migrolino Dbendorf Im Giessen,"Ueberlandstrasse 97, Dbendorf",47.4032396,8.607397599999999,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJCd3jm6mhmkcRiyv_y5p1hyg,8600,http://www.migrolino.ch/,https://maps.google.com/?cid=2920432191080967051,_cid=2920432191080967051,41.65413533834587
Beds supermarket Strahm AG,"Neugutstrasse 83, Dbendorf",47.4014171,8.6037132,"['furniture_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']",ChIJp3T6nAChmkcRa6uymFBugls,8600,http://www.betten-strahm.ch/,https://maps.google.com/?cid=6593954096862112619,,
